date,hour,USD_per_MWh,wind Hatchet MWh
1/7/2018,153,24.96893,0.301234
1/7/2018,154,23.17967,0
1/7/2018,155,21.63336,0
1/7/2018,156,21.07371,0
1/7/2018,157,20.25333,0
1/7/2018,158,20.98702,0
1/7/2018,159,21.63818,0
1/7/2018,160,27.6884,0
1/7/2018,161,32.51231,0
1/7/2018,162,39.96248,0
1/7/2018,163,44.9163,0
1/7/2018,164,39.34915,0
1/7/2018,165,35.22627,0.356384
1/7/2018,166,32.69166,0.0221577
1/7/2018,167,31.30299,0.117319
1/7/2018,168,29.05596,0.474445
1/8/2018,169,28.12587,0
1/8/2018,170,27.13706,0
1/8/2018,171,25.07615,0.374062
1/8/2018,172,24.93931,2.33392
1/8/2018,173,28.17652,1.76806
1/8/2018,174,31.15412,1.67172
1/8/2018,175,35.12496,1.06153
1/8/2018,176,41.42799,3.52811
1/8/2018,177,37.38426,3.1914
1/8/2018,178,34.44547,3.96031
1/8/2018,179,32.11251,6.33808
1/8/2018,180,32.65937,3.24468
1/8/2018,181,31.88784,2.21357
1/8/2018,182,31.14127,1.91581
1/8/2018,183,32.43624,0.814434
1/8/2018,184,34.67205,1.2439
1/8/2018,185,36.08158,0.849267
1/8/2018,186,44.59688,0.539603
1/8/2018,187,38.55092,0.431872
1/8/2018,188,37.25061,0.134043
1/8/2018,189,36.03983,0.749289
1/8/2018,190,32.7016,0.802439
1/8/2018,191,30.38088,0.238072
1/8/2018,192,29.65884,0.234049
1/9/2018,193,27.74738,0.150893
1/9/2018,194,26.56899,0
1/9/2018,195,25.38957,0
1/9/2018,196,25.38654,0.271175
1/9/2018,197,27.31123,0.29199
1/9/2018,198,29.77481,0.281075
1/9/2018,199,35.93918,0.224888
1/9/2018,200,40.25128,0
1/9/2018,201,34.4501,0.220995
1/9/2018,202,31.4305,1.77838
1/9/2018,203,29.95363,1.01615
1/9/2018,204,28.65426,0.542843
1/9/2018,205,28.44837,1.35367
1/9/2018,206,28.28884,2.99777
1/9/2018,207,28.30127,12.0676
1/9/2018,208,29.43523,13.3357
1/9/2018,209,34.50476,6.7391
1/9/2018,210,43.01454,2.89524
1/9/2018,211,40.46012,1.64766
1/9/2018,212,39.23327,0.230222
1/9/2018,213,36.1367,1.81284
1/9/2018,214,32.10251,3.6588
1/9/2018,215,31.09721,1.32055
1/9/2018,216,28.29367,0.0505515
1/10/2018,217,22.36499,0
1/10/2018,218,21.09519,1.26639
1/10/2018,219,19.97695,1.16764
1/10/2018,220,19.98321,0.438438
1/10/2018,221,22.28228,0
1/10/2018,222,25.15957,0.394135
1/10/2018,223,33.34538,0.0766559
1/10/2018,224,39.00223,0.150771
1/10/2018,225,28.5536,0
1/10/2018,226,24.34094,0
1/10/2018,227,21.93118,0
1/10/2018,228,20.86716,0
1/10/2018,229,19.64475,0
1/10/2018,230,18.96529,0
1/10/2018,231,20.57033,0.0735719
1/10/2018,232,27.44665,9.46602
1/10/2018,233,32.10605,8.52447
1/10/2018,234,40.72469,13.5578
1/10/2018,235,44.2463,9.39538
1/10/2018,236,41.35667,13.5966
1/10/2018,237,41.90192,13.6
1/10/2018,238,33.94513,13.0958
1/10/2018,239,31.90741,3.99169
1/10/2018,240,28.42807,10.5792
1/11/2018,241,24.17141,0.294818
1/11/2018,242,22.13095,7.15775
1/11/2018,243,21.40406,0.210527
1/11/2018,244,21.59213,0
1/11/2018,245,22.54672,0
1/11/2018,246,29.05478,0
1/11/2018,247,36.7083,0
1/11/2018,248,42.32717,0
1/11/2018,249,31.23741,0
1/11/2018,250,26.64158,0
1/11/2018,251,22.74621,0
1/11/2018,252,20.02937,0.513382
1/11/2018,253,20.01712,0.0887305
1/11/2018,254,20.64463,0
1/11/2018,255,21.34122,0
1/11/2018,256,28.67992,2.37065
1/11/2018,257,34.21664,0.837416
1/11/2018,258,42.57825,7.00868
1/11/2018,259,46.99678,7.01078
1/11/2018,260,38.20653,13.3674
1/11/2018,261,34.45887,3.30611
1/11/2018,262,30.97146,13.0355
1/11/2018,263,27.59783,4.32997
1/11/2018,264,27.67043,4.61281
1/12/2018,265,26.96281,3.36838
1/12/2018,266,24.37962,1.63852
1/12/2018,267,24.05377,0.0331211
1/12/2018,268,24.18147,0.260128
1/12/2018,269,24.64378,1.19674
1/12/2018,270,28.35754,2.69885
1/12/2018,271,39.09524,4.12519
1/12/2018,272,44.98317,2.41931
1/12/2018,273,34.87808,0
1/12/2018,274,28.44995,1.69366
1/12/2018,275,27.34141,1.0333
1/12/2018,276,25.33628,0.835608
1/12/2018,277,22.4612,1.38017
1/12/2018,278,22.95708,0.492914
1/12/2018,279,27.44775,0.157288
1/12/2018,280,31.23674,0.785603
1/12/2018,281,38.36025,2.02445
1/12/2018,282,51.53423,4.16901
1/12/2018,283,44.31978,8.28572
1/12/2018,284,39.48523,9.02467
1/12/2018,285,39.22298,9.29508
1/12/2018,286,34.91503,12.8441
1/12/2018,287,31.90875,10.4106
1/12/2018,288,29.73894,5.73486
1/13/2018,289,32.4585,5.42077
1/13/2018,290,30.12017,2.70061
1/13/2018,291,28.76708,2.19393
1/13/2018,292,28.96706,2.79605
1/13/2018,293,28.96526,2.77944
1/13/2018,294,30.1353,2.84376
1/13/2018,295,33.44799,3.91469
1/13/2018,296,32.66336,2.74442
1/13/2018,297,27.89782,2.52604
1/13/2018,298,22.80517,3.26054
1/13/2018,299,20.39037,6.99097
1/13/2018,300,19.97509,8.77483
1/13/2018,301,18.8857,9.86665
1/13/2018,302,19.92571,10.0545
1/13/2018,303,21.13959,9.2518
1/13/2018,304,28.20207,10.576
1/13/2018,305,34.97071,5.90911
1/13/2018,306,48.52816,5.28641
1/13/2018,307,46.94287,11.1768
1/13/2018,308,44.48804,13.4225
1/13/2018,309,41.49875,13.591
1/13/2018,310,35.88204,13.6
1/13/2018,311,32.07335,13.6
1/13/2018,312,30.06713,13.6
1/14/2018,313,30.37498,13.6
1/14/2018,314,29.02163,13.6
1/14/2018,315,28.45936,13.6
1/14/2018,316,28.13861,13.6
1/14/2018,317,28.43637,13.589
1/14/2018,318,28.40866,11.5326
1/14/2018,319,31.92728,8.9494
1/14/2018,320,29.66513,13.431
1/14/2018,321,28.02602,12.644
1/14/2018,322,23.35085,10.5023
1/14/2018,323,21.88864,3.38024
1/14/2018,324,21.13751,2.86879
1/14/2018,325,19.91583,0.943373
1/14/2018,326,19.99032,0.119255
1/14/2018,327,22.661,0.0843059
1/14/2018,328,28.4611,0.868798
1/14/2018,329,34.38343,2.16859
1/14/2018,330,48.03003,0.582411
1/14/2018,331,51.03959,0.813881
1/14/2018,332,46.29301,1.10924
1/14/2018,333,40.81085,0.168121
1/14/2018,334,34.17285,2.25304
1/14/2018,335,31.13042,4.09385
1/14/2018,336,29.72396,5.88055
1/15/2018,337,27.57945,7.12472
1/15/2018,338,27.4947,7.01614
1/15/2018,339,27.23254,4.08825
1/15/2018,340,26.87943,3.65864
1/15/2018,341,28.16727,13.3744
1/15/2018,342,29.419,8.5342
1/15/2018,343,36.46392,2.33582
1/15/2018,344,42.67432,7.4011
1/15/2018,345,32.71808,11.8395
1/15/2018,346,28.31532,4.09538
1/15/2018,347,28.25953,7.40371
1/15/2018,348,27.22552,2.18915
1/15/2018,349,27.44914,3.18454
1/15/2018,350,28.2239,2.05628
1/15/2018,351,28.81112,3.53848
1/15/2018,352,32.91698,1.92724
1/15/2018,353,39.8638,5.79802
1/15/2018,354,48.71741,6.79427
1/15/2018,355,47.26354,4.59481
1/15/2018,356,46.46336,9.08333
1/15/2018,357,43.98081,3.76498
1/15/2018,358,35.52477,2.00242
1/15/2018,359,32.76472,1.9634
1/15/2018,360,30.71817,1.90811
1/16/2018,361,28.11488,1.44955
1/16/2018,362,28.19129,1.26929
1/16/2018,363,27.25463,1.17931
1/16/2018,364,25.93329,1.50689
1/16/2018,365,27.84359,2.70611
1/16/2018,366,28.99926,3.81456
1/16/2018,367,39.10058,5.22378
1/16/2018,368,41.41844,6.62723
1/16/2018,369,34.46109,7.85001
1/16/2018,370,29.76533,7.90633
1/16/2018,371,28.10026,8.61406
1/16/2018,372,25.58147,5.20007
1/16/2018,373,25.69719,4.99581
1/16/2018,374,26.06084,1.82183
1/16/2018,375,27.63202,2.95056
1/16/2018,376,30.98908,2.06395
1/16/2018,377,37.14208,6.71712
1/16/2018,378,46.18916,12.3854
1/16/2018,379,46.3145,7.79602
1/16/2018,380,43.10203,8.67399
1/16/2018,381,41.56812,9.53254
1/16/2018,382,35.95618,8.00603
1/16/2018,383,32.3883,7.07487
1/16/2018,384,30.97758,6.91956
1/17/2018,385,28.86966,6.35427
1/17/2018,386,28.27134,6.18193
1/17/2018,387,27.99929,4.0436
1/17/2018,388,28.04182,1.8543
1/17/2018,389,28.45912,0.914879
1/17/2018,390,33.26718,2.24888
1/17/2018,391,42.87215,2.04935
