date,hour,USD_per_MWh,wind Hatchet MWh
1/7/2018,153,25.71976,13.6
1/7/2018,154,23.87331,10.5348
1/7/2018,155,22.27102,6.84093
1/7/2018,156,21.64819,2.3886
1/7/2018,157,20.79075,7.22683
1/7/2018,158,21.55611,10.6223
1/7/2018,159,22.32621,9.77631
1/7/2018,160,28.57728,7.72973
1/7/2018,161,33.84503,10.5882
1/7/2018,162,42.011,13.6
1/7/2018,163,47.22056,13.6
1/7/2018,164,41.34369,13.6
1/7/2018,165,36.96227,13.6
1/7/2018,166,34.1287,4.14359
1/7/2018,167,32.43986,0
1/7/2018,168,30.02591,0.845523
1/8/2018,169,29.0224,0.889642
1/8/2018,170,27.90519,1.36885
1/8/2018,171,25.77074,0.882423
1/8/2018,172,25.6634,1.04205
1/8/2018,173,29.03508,1.45313
1/8/2018,174,32.15962,1.36446
1/8/2018,175,36.50895,1.79782
1/8/2018,176,43.18522,1.66263
1/8/2018,177,39.08522,1.3424
1/8/2018,178,36.06628,1.65165
1/8/2018,179,33.69718,1.59323
1/8/2018,180,34.06369,0.262687
1/8/2018,181,33.2672,0.200329
1/8/2018,182,32.41554,0.01908
1/8/2018,183,33.51737,0
1/8/2018,184,35.60534,0
1/8/2018,185,36.70444,0
1/8/2018,186,14.41925,0
1/8/2018,187,12.63135,0
1/8/2018,188,18.17189,0
1/8/2018,189,20.12304,0
1/8/2018,190,22.27498,0
1/8/2018,191,24.21596,0
1/8/2018,192,23.05476,0
1/9/2018,193,28.1337,0
1/9/2018,194,26.9836,0
1/9/2018,195,25.87994,0
1/9/2018,196,25.9405,0
1/9/2018,197,27.81874,0
1/9/2018,198,30.4581,0
1/9/2018,199,37.11157,0
1/9/2018,200,41.61691,0
1/9/2018,201,35.77451,0
1/9/2018,202,32.69613,0
1/9/2018,203,31.29645,0
1/9/2018,204,29.92562,0
1/9/2018,205,29.7597,0
1/9/2018,206,29.58457,0
1/9/2018,207,29.49768,0
1/9/2018,208,30.79897,0
1/9/2018,209,36.19402,0
1/9/2018,210,45.78666,0
1/9/2018,211,42.77553,0
1/9/2018,212,41.177,0
1/9/2018,213,37.8211,0
1/9/2018,214,33.35268,0
1/9/2018,215,32.12191,0
1/9/2018,216,28.99627,0
1/10/2018,217,22.55929,0
